,BTC,DOGE,FTC,IXC,LTC,MEC,NMC,NVC,NXT,OMNI,PPC,XPM,XRP
2013-12-24,8100042042.0,9075938.0,7475930.0,2114731.0,427453484.0,10628202.0,31329591.0,6412346.0,38054424.0,66382024.0,69621434.0,8238243.0,176487298.0
2013-12-25,8305173374.0,8194483.0,7885064.0,2005354.0,513136461.0,11457195.0,35150333.0,6897885.0,64457972.0,82029418.0,72517256.0,8729775.0,172318800.0
2013-12-26,9279735331.0,8836621.0,10103990.0,2248852.0,601393272.0,17984211.0,40462873.0,7681378.0,84503432.0,115656543.0,83410239.0,10300080.0,190638461.0
2013-12-27,8955394564.0,8016604.0,9380069.0,2193051.0,566088039.0,18303236.0,36840389.0,7309067.0,71799458.0,112537471.0,79857619.0,9642494.0,211674057.0
2013-12-28,8869918644.0,7374149.0,9328220.0,2082060.0,549583194.0,17543871.0,36622916.0,7216134.0,60045081.0,105375686.0,89172387.0,9745509.0,213453409.0
2013-12-29,9082103621.0,7634717.0,9589252.0,2116998.0,586899466.0,18066150.0,38151822.0,7426811.0,56122989.0,111753212.0,89891463.0,10266252.0,212784197.0
2013-12-30,9217167990.0,7270542.0,9770090.0,1707936.0,595264231.0,18421072.0,39047182.0,7476436.0,50881399.0,115283617.0,95524935.0,10253675.0,214680817.0
2013-12-31,9191325349.0,7689659.0,9784064.0,2173157.0,595219436.0,18668229.0,38927101.0,7378485.0,52104997.0,111068069.0,96858466.0,10691645.0,213663710.0
2014-01-01,9403308145.0,8335005.0,10048259.0,2201445.0,602482641.0,18310278.0,43064150.0,7610861.0,70191061.0,96761844.0,120494407.0,12807635.0,210649132.0
2014-01-02,9781073921.0,6935467.0,12559554.0,2208300.0,631135532.0,17909642.0,59269582.0,9494360.0,73669654.0,88992971.0,156886679.0,16206745.0,224573575.0
2014-01-03,9980135396.0,6162990.0,11695333.0,2088344.0,608792287.0,17659627.0,56340267.0,8846959.0,60360780.0,93102588.0,147059767.0,16886211.0,215987968.0
2014-01-04,10477362437.0,6323972.0,12080322.0,2097041.0,616747356.0,18171817.0,59407870.0,9310477.0,63286474.0,107976874.0,151901765.0,17034191.0,219911767.0
