,BTC,DOGE,FTC,IXC,LTC,MEC,NMC,NVC,NXT,OMNI,PPC,XPM,XRP
2013-12-24,665.58,0.000686,0.272888,0.122467,17.64,0.49611000000000005,4.13,12.05,0.038054000000000004,107.16,3.32,2.22,0.022575
2013-12-25,682.21,0.000587,0.286528,0.11598900000000001,21.15,0.534457,4.63,12.93,0.064458,132.42,3.46,2.34,0.022042
2013-12-26,761.98,0.000602,0.36575,0.129925,24.76,0.8383299999999999,5.33,14.36,0.084504,186.7,3.98,2.75,0.024385
2013-12-27,735.07,0.000522,0.33813200000000004,0.126579,23.27,0.852615,4.84,13.64,0.0718,181.66,3.81,2.57,0.027076
2013-12-28,727.83,0.000459,0.334802,0.120077,22.56,0.816654,4.81,13.43,0.060045,170.1,4.25,2.58,0.027302999999999997
2013-12-29,745.05,0.000454,0.342723,0.121965,24.07,0.8404159999999999,5.01,13.78,0.056123,180.4,4.28,2.71,0.027218
2013-12-30,756.13,0.00041600000000000003,0.34781999999999996,0.09830499999999999,24.38,0.856347,5.12,13.85,0.050882,186.1,4.55,2.7,0.027460000000000002
2013-12-31,754.01,0.00042199999999999996,0.34684499999999996,0.12496199999999999,24.35,0.8672469999999999,5.1,13.64,0.052105,179.29,4.61,2.8,0.02733
2014-01-01,771.4,0.00044,0.354844,0.12645599999999999,24.62,0.850083,5.63,14.04,0.070191,156.2,5.74,3.35,0.026944
2014-01-02,802.39,0.00035299999999999996,0.44131400000000004,0.126754,25.76,0.830883,7.74,17.47,0.07367,143.66,7.47,4.22,0.028725999999999998
2014-01-03,818.72,0.000303,0.40936,0.11973800000000001,24.82,0.81872,7.35,16.22,0.060361,150.29,7.0,4.38,0.027627
2014-01-04,859.51,0.000301,0.42116000000000003,0.120117,25.11,0.8418899999999999,7.74,17.03,0.063287,174.3,7.23,4.4,0.028129
2014-01-05,933.53,0.000271,0.438759,0.12229200000000001,26.83,0.876491,7.84,17.33,0.06336,178.9,7.23,4.44,0.025230000000000002
2014-01-06,953.29,0.00025499999999999996,0.443111,0.134414,29.22,0.9710639999999999,7.94,17.45,0.052190999999999994,175.0,7.0,4.33,0.0257
2014-01-07,802.0,0.000225,0.33684000000000003,0.11552799999999999,23.25,0.7297239999999999,5.92,14.74,0.032487,131.49,5.37,3.19,0.022986000000000003
2014-01-08,842.72,0.00022799999999999999,0.379224,0.122047,24.39,0.758414,6.47,15.46,0.039949,125.75,6.07,3.43,0.023227
2014-01-09,846.86,0.000246,0.372618,0.118552,24.43,0.755992,6.55,15.6,0.04439,124.53,6.02,3.4,0.022368
2014-01-10,868.48,0.000373,0.373446,0.12158699999999999,24.93,0.812185,6.77,15.92,0.044329,136.41,5.96,3.51,0.022837
2014-01-11,913.95,0.000356,0.37472,0.125193,26.79,0.823368,6.89,16.4,0.044446,128.1,6.49,3.81,0.024019
2014-01-12,863.22,0.00034500000000000004,0.345288,0.113142,25.09,0.783597,6.53,15.41,0.040386,127.39,6.16,3.58,0.022044
2014-01-13,841.2,0.000278,0.34489200000000003,0.110222,24.27,0.746683,6.38,15.06,0.03797,90.85,6.0,3.39,0.021664
2014-01-14,833.27,0.000342,0.333308,0.112375,24.1,0.718529,6.27,14.93,0.03804,115.01,5.93,3.29,0.021186
2014-01-15,860.9,0.000413,0.335751,0.121768,25.22,0.7511869999999999,6.4,15.23,0.035674000000000004,125.36,6.11,3.46,0.022221
2014-01-16,835.63,0.000384,0.325896,0.11471500000000001,24.46,0.737586,6.18,14.87,0.032994,102.29,5.94,3.35,0.021024
2014-01-17,814.64,0.00041500000000000006,0.301417,0.1202,23.71,0.715555,5.91,14.29,0.029314,108.21,5.7,3.27,0.02053
2014-01-18,840.0,0.000588,0.3108,0.105025,24.55,0.73017,6.12,14.84,0.047652999999999994,125.15,5.84,3.27,0.021279
2014-01-19,870.96,0.000697,0.322255,0.117675,25.44,0.6969420000000001,6.4,15.02,0.052563,141.75,5.97,3.32,0.020875
2014-01-20,870.2,0.001253,0.321974,0.130574,25.2,0.67873,6.28,15.05,0.079037,131.79,5.9,3.25,0.019856
2014-01-21,863.91,0.001814,0.311364,0.126995,24.73,0.6262310000000001,6.11,14.57,0.103309,140.11,5.81,3.08,0.019927
2014-01-22,845.59,0.001497,0.304412,0.120776,23.65,0.788555,5.77,13.99,0.073608,126.09,5.4,2.88,0.019389
2014-01-23,822.04,0.0018,0.279494,0.11068800000000001,22.38,0.602975,5.35,13.71,0.073918,123.71,4.97,2.91,0.018535
2014-01-24,797.07,0.0017850000000000001,0.263033,0.103914,20.72,0.561974,4.97,12.76,0.070037,113.08,4.89,2.62,0.018126
2014-01-25,853.61,0.0018440000000000002,0.367052,0.105609,23.08,0.655265,5.92,14.38,0.07305199999999999,127.44,5.84,3.06,0.019141
2014-01-26,885.28,0.001594,0.327554,0.11435999999999999,24.12,0.6020260000000001,6.15,14.71,0.078029,106.46,6.04,3.45,0.020128
2014-01-27,771.39,0.001219,0.262273,0.10432999999999999,20.02,0.543089,5.04,12.33,0.06691,96.46,4.88,2.76,0.018966999999999998
2014-01-28,812.51,0.0013570000000000001,0.284378,0.105626,21.55,0.5777680000000001,5.24,12.63,0.0692,80.65,5.19,2.94,0.020605000000000002
2014-01-29,826.0,0.001602,0.2891,0.109214,21.92,0.5892270000000001,5.26,12.95,0.0626,74.2,5.28,2.95,0.020337
2014-01-30,819.03,0.001523,0.27847,0.10219,21.69,0.6130770000000001,5.26,12.73,0.062246,71.33,5.4,2.99,0.020337
2014-01-31,829.92,0.00156,0.29047199999999995,0.10646199999999999,22.13,0.626548,5.73,13.0,0.060841,80.41,6.01,3.1,0.020503999999999998
2014-02-01,832.58,0.001457,0.299729,0.10590799999999999,22.47,0.6338020000000001,5.63,13.1,0.06644,77.85,5.97,3.12,0.020697999999999998
2014-02-02,825.37,0.001279,0.28888,0.105235,22.4,0.656879,5.46,12.83,0.066888,86.74,5.77,3.02,0.02156
2014-02-03,823.83,0.001269,0.271864,0.108857,21.91,0.6063310000000001,5.33,12.52,0.063163,81.43,5.54,2.91,0.021402
