,lookback_window,minimum_occurrence,minimum_length,alpha,size,strategy,win_rate,sharpe,mdd
0,20,10,1,0.05,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
1,20,10,1,0.05,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
2,20,10,1,0.05,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
3,20,10,1,0.05,binary,Strategy,0.4827586206896552,-0.5216450539442843,0.9880989481952455
4,20,10,1,0.05,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
5,20,10,1,0.05,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
6,20,10,1,0.05,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
7,20,10,1,0.05,continuous,Strategy,0.47044334975369456,-0.2587264402109185,0.7662500940352859
8,20,10,1,0.05,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
9,20,10,1,0.05,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
10,20,10,1,0.05,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
11,20,10,1,0.05,trinary,Strategy,0.1724137931034483,0.3848761087604127,0.9234757794834592
12,20,10,1,0.1,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
13,20,10,1,0.1,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
14,20,10,1,0.1,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
15,20,10,1,0.1,binary,Strategy,0.5147783251231527,0.43580782253865874,0.9870849917096584
16,20,10,1,0.1,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
17,20,10,1,0.1,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
18,20,10,1,0.1,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
19,20,10,1,0.1,continuous,Strategy,0.5123152709359606,0.14695571643774274,0.7675829067166038
20,20,10,1,0.1,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
21,20,10,1,0.1,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
22,20,10,1,0.1,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
23,20,10,1,0.1,trinary,Strategy,0.20689655172413793,0.19892267592782298,0.8658923947076483
24,20,10,1,0.2,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
25,20,10,1,0.2,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
26,20,10,1,0.2,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
27,20,10,1,0.2,binary,Strategy,0.47783251231527096,-0.33301911725791816,0.9917089799713538
28,20,10,1,0.2,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
29,20,10,1,0.2,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
30,20,10,1,0.2,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
31,20,10,1,0.2,continuous,Strategy,0.47783251231527096,-0.45041880276679386,0.703821973324414
32,20,10,1,0.2,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
33,20,10,1,0.2,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
34,20,10,1,0.2,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
35,20,10,1,0.2,trinary,Strategy,0.13793103448275862,-0.5472792289148413,0.886679892186638
36,20,10,3,0.05,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
37,20,10,3,0.05,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
38,20,10,3,0.05,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
39,20,10,3,0.05,binary,Strategy,0.4753694581280788,-0.5505772174277263,0.9926105537495075
40,20,10,3,0.05,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
41,20,10,3,0.05,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
42,20,10,3,0.05,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
43,20,10,3,0.05,continuous,Strategy,0.4630541871921182,-0.21569003789013755,0.7626011138114899
44,20,10,3,0.05,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
45,20,10,3,0.05,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
46,20,10,3,0.05,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
47,20,10,3,0.05,trinary,Strategy,0.17733990147783252,0.5282851407322183,0.9324635486490589
48,20,10,3,0.1,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
49,20,10,3,0.1,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
50,20,10,3,0.1,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
51,20,10,3,0.1,binary,Strategy,0.5049261083743842,-0.8973320150709062,0.9979981817970556
52,20,10,3,0.1,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
53,20,10,3,0.1,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
54,20,10,3,0.1,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
55,20,10,3,0.1,continuous,Strategy,0.5024630541871922,0.2928049499168635,0.7520689611036165
56,20,10,3,0.1,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
57,20,10,3,0.1,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
58,20,10,3,0.1,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
59,20,10,3,0.1,trinary,Strategy,0.19950738916256158,0.8256600125532111,0.7646924419705421
60,20,10,3,0.2,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
